title,date,type,location,latitude,longitude,source,archived,verification,,notes
Raffineria Gazprom Neftekhim Salavat,24/09/25,Drones,"Salavat, Repubblica di Baschiria",53.4012,55.90512,"https://www.reuters.com/business/energy/ukraines-drones-again-attack-russias-major-petrochemical-complex-2025-09-24/#::~:text=MOSCOW%2C%20Sept%2024%20(Reuters),a%20major%20unit%20caught%20fire.",,verified,,
Raffineria di Astrakhan,22/09/25,Drones,"Astrakhan, Oblast di Astrakhan",46.77502,48.11057,https://www.reuters.com/business/energy/russias-astrakhan-gas-plant-halted-operations-after-drone-attack-sources-say-2025-09-23/,,verified,,
Raffineria di Orsk,03/10/25,Drones,"Orsk, Oblast' di Orenburg",51.25948,58.52666,https://militarnyi.com/en/news/video-drones-strike-a-refinery-in-the-russian-city-of-orsk-1400-kilometers-from-the-ukrainian-border/,,verified,,
Raffineria di Orsk,11/11/25,Drones,"Orsk, Oblast' di Orenburg",51.25948,58.52666,https://kyivindependent.com/russias-orsk-oil-refinery-hit-in-ukrainian-strike-general-staff-says/,,verified,,
"Lukoil - Nizhegorodnefteorgsintez, Kstovo",16/10/25,Drones,"Kstovo, Oblast' di Nižnij Novgorod",56.10583,44.14389,https://militarnyi.com/en/news/drones-attacked-lukoil-nizhegorodnefteorgsintez-facility-shut-down-and-on-fire/,,verified,,
"Lukoil - Nizhegorodnefteorgsintez, Kstovo",04/11/25,Drones,"Kstovo, Oblast' di Nižnij Novgorod",56.10583,44.14389,https://www.reuters.com/world/ukrainian-military-says-it-struck-refinery-russias-nizhny-novgorod-2025-11-04/,https://archive.is/iOSkv,verified,,
Raffineria di Orenburg,19/10/25,Drones,"Orenbúrg, Oblast di Orenbúrg ",51.6541,54.7969,https://kyivindependent.com/massive-russian-gas-plant-forced-to-suspend-gas-intake-following-ukrainian-drone-attack/,,verified,,
Raffineria di Orenburg,20/10/25,Drones,"Orenbúrg, Oblast di Orenbúrg ",51.6541,54.7969,https://www.reuters.com/business/energy/ukraine-drone-attack-russian-gas-plant-hits-kazakh-output-sources-say-2025-10-20/,https://archive.is/ooCeg,verified,,
Raffineria di Makhachkala,22/10/25,Drones,"Machačkala, Repubblica autonoma del Daghestan",42.966633,47.51263,https://kyivindependent.com/drones-attack-oil-refinery-mechanical-plant-in-russia-media-reports/,https://archive.is/NOBzS,verified,,
Raffineria di Novospassky,29/10/25,Drones,"Novospasskoe, Oblast' di Ul'janovsk",53.14583,47.75833,https://www.ukrinform.net/rubric-ato/4052632-drones-attack-oil-refinery-chemical-plant-in-russia-media.html,,verified,,
Raffineria di Mari,29/10/25,Drones,"Tabashno, Repubblica di Mari El",56.981907,47.72762,https://militarnyi.com/en/news/fire-breaks-out-at-mari-oil-refinery-in-the-republic-of-mari-el/,,verified,,
Raffineria di Yaroslavl,31/10/25,Neptune missiles,"Yaroslavl, Oblast di Yaroslav",57.54583,39.78944,https://kyivindependent.com/drone-strike-damages-thermal-power-plant-in-russias-oryol-oblast-governor-says/,,verified,,
Raffineria di Tuapse,02/11/25,Drones,"Tuapse, Krasnodar Kraj",44.10417,39.09861,https://www.reuters.com/business/energy/russias-tuapse-halted-fuel-exports-after-drone-attacks-refinery-stopped-sources-2025-11-05/,https://archive.is/iaZmO,verified,,
